"","Provider.ID","Hospital.Name","ZIP.Code","County.Name","Phone.Number","HCAHPS.Measure.ID","HCAHPS.Question","HCAHPS.Answer.Description","HCAHPS.Answer.Percent","Number.of.Completed.Surveys","Survey.Response.Rate.Percent","Footnote","Measure.Start.Date","Measure.End.Date","Location","Location.1"
"1",460052,"TIMPANOGOS REGIONAL HOSPITAL",84057,"UTAH",8.02e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",19,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","750 WEST 800 NORTH
OREM, UT 84057
(40.312087907000034, -111.71475115099997)","750 WEST 800 NORTH
OREM, UT
(40.312087907000034, -111.71475115099997)"
"2",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_RECMND_DY","Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",54,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"3",460004,"MCKAY DEE HOSPITAL",84403,"WEBER",8.01e+09,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",17,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","4401 HARRISON BOULEVARD
OGDEN, UT 84403
(41.182842762000064, -111.94917334099995)","4401 HARRISON BOULEVARD
OGDEN, UT
(41.182842762000064, -111.94917334099995)"
"4",460054,"CACHE VALLEY SPECIALITY HOSPITAL",84341,"CACHE",4.36e+09,"H_COMP_7_A","Patients who â€œAgreeâ€ they understood their care when they left the hospital","Patients who â€œAgreeâ€ they understood their care when they left the hospital",44,"Between 100 and 299",60,NA,"01/01/2013 12:00:00 AM","########","2380 NORTH 400 EAST
NORTH LOGAN, UT 84341
(41.77553825700005, -111.82310081999998)","2380 NORTH 400 EAST
NORTH LOGAN, UT
(41.77553825700005, -111.82310081999998)"
"5",463301,"PRIMARY CHILDRENS HOSPITAL",84113,"SALT LAKE",8.02e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT 84113
(40.76630043500006, -111.83674326999994)","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT
(40.76630043500006, -111.83674326999994)"
"6",460015,"LOGAN REGIONAL HOSPITAL",84341,"CACHE",4.36e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",22,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","500 EAST 1400 NORTH
LOGAN, UT 84341
(41.75743373000006, -111.82112768799999)","500 EAST 1400 NORTH
LOGAN, UT
(41.75743373000006, -111.82112768799999)"
"7",461309,"KANE COUNTY HOSPITAL",84741,"KANE",4.36e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",28,"Fewer than 100",40,6,"01/01/2013 12:00:00 AM","########","355 NORTH MAIN STREET
KANAB, UT 84741
(37.05415050100004, -112.52862508099997)","355 NORTH MAIN STREET
KANAB, UT
(37.05415050100004, -112.52862508099997)"
"8",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_COMP_7_A","Patients who â€œAgreeâ€ they understood their care when they left the hospital","Patients who â€œAgreeâ€ they understood their care when they left the hospital",31,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"9",460035,"BEAVER VALLEY HOSPITAL",84713,"BEAVER",4.35e+09,"H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",83,"Fewer than 100",28,10,"01/01/2013 12:00:00 AM","########","1109 NORTH 100 WEST
BEAVER, UT 84713
(38.289840242000025, -112.64318848899995)","1109 NORTH 100 WEST
BEAVER, UT
(38.289840242000025, -112.64318848899995)"
"10",460021,"DIXIE REGIONAL MEDICAL CENTER",84790,"WASHINGTON",4.35e+09,"H_QUIET_HSP_A_P","Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",59,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT 84790
(37.09982198100005, -113.55333508599995)","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT
(37.09982198100005, -113.55333508599995)"
